# rho, Re(G), Im(G)
  6.174348697395E-01  2.357974871671E-01  1.331063040685E+00
  6.200400801603E-01  2.432848031068E-01  1.305483640054E+00
  6.226452905812E-01  2.499410503731E-01  1.280112822604E+00
  6.252505010020E-01  2.557719294722E-01  1.254992471049E+00
  6.278557114228E-01  2.607891950296E-01  1.230162964456E+00
  6.304609218437E-01  2.650104125301E-01  1.205662677650E+00
  6.330661322645E-01  2.684586660624E-01  1.181527515217E+00
  6.356713426854E-01  2.711622218349E-01  1.157790485278E+00
  6.382765531062E-01  2.731541491705E-01  1.134481317613E+00
  6.408817635271E-01  2.744719071266E-01  1.111626129914E+00
  6.434869739479E-01  2.751568960103E-01  1.089247145827E+00
  6.460921843687E-01  2.752539838340E-01  1.067362466649E+00
  6.486973947896E-01  2.748110057023E-01  1.045985899751E+00
  6.513026052104E-01  2.738782477038E-01  1.025126843541E+00
  6.539078156313E-01  2.725079145858E-01  1.004790230593E+00
  6.565130260521E-01  2.707535909699E-01  9.849765273321E-01
  6.591182364729E-01  2.686696945787E-01  9.656817914130E-01
  6.617234468938E-01  2.663109340585E-01  9.468977826131E-01
  6.643286573146E-01  2.637317701479E-01  9.286121270567E-01
  6.669338677355E-01  2.609858892385E-01  9.108085306365E-01
  6.695390781563E-01  2.581256909424E-01  8.934670390558E-01
  6.721442885772E-01  2.552017967196E-01  8.765643401477E-01
  6.747494989980E-01  2.522625855380E-01  8.600741032845E-01
  6.773547094188E-01  2.493537558818E-01  8.439673531900E-01
  6.799599198397E-01  2.465179252225E-01  8.282128704155E-01
  6.825651302605E-01  2.437942631944E-01  8.127776164097E-01
  6.851703406814E-01  2.412181720923E-01  7.976271727693E-01
  6.877755511022E-01  2.388210073255E-01  7.827261946349E-01
  6.903807615230E-01  2.366298456596E-01  7.680388697285E-01
  6.929859719439E-01  2.346673086579E-01  7.535293747549E-01
  6.955911823647E-01  2.329514348993E-01  7.391623276161E-01
  6.981963927856E-01  2.314956011447E-01  7.249032311858E-01
  7.008016032064E-01  2.303085057254E-01  7.107188961762E-01
  7.034068136273E-01  2.293941980104E-01  6.965778466789E-01
  7.060120240481E-01  2.287521672759E-01  6.824506965195E-01
  7.086172344689E-01  2.283774797989E-01  6.683104974310E-01
  7.112224448898E-01  2.282609614838E-01  6.541330566490E-01
  7.138276553106E-01  2.283894471984E-01  6.398972018060E-01
  7.164328657315E-01  2.287460389258E-01  6.255850341750E-01
  7.190380761523E-01  2.293104395554E-01  6.111821102229E-01
  7.216432865731E-01  2.300593070976E-01  5.966775908354E-01
  7.242484969940E-01  2.309666330358E-01  5.820643517435E-01
  7.268537074148E-01  2.320041549208E-01  5.673390405155E-01
  7.294589178357E-01  2.331417933019E-01  5.525020819851E-01
  7.320641282565E-01  2.343480926840E-01  5.375576481104E-01
  7.346693386774E-01  2.355906750551E-01  5.225135786292E-01
  7.372745490982E-01  2.368366929368E-01  5.073812615483E-01
  7.398797595190E-01  2.380532889227E-01  4.921754591596E-01
  7.424849699399E-01  2.392080220225E-01  4.769141240601E-01
